Account Name,Primary Contact,Main Phone,Account Number,Account Rating,Address 1: Address Type,Address 1: City,Address 1: Country/Region,Address 1: County,Address 1: Fax,Address 1: Freight Terms,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Primary Contact Name,Address 1: Shipping Method,Address 1: State/Province,Address 1: Street 1,Address 1: Street 2,Address 1: Street 3,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 1: ZIP/Postal Code,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Freight Terms,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Primary Contact Name,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Address Phone,Aging 30,Aging 60,Aging 90,Annual Revenue,Business Type,Category,Classification,Created By,Created On,Credit Hold,Credit Limit,Customer Size,Description,Do not allow Bulk E-mails,Do not allow Bulk Mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Fax,FTP Site,Industry,Last Date Included in Campaign,Market Capitalization,Modified By,Modified On,No. of Employees,Originating Lead,Other Phone,Propriétaire,Ownership,Parent Account,Payment Terms,Preferred Day,Preferred Facility/Equipment,Preferred Method of Contact,Preferred Service,Preferred Time,Preferred User,Price List,Relationship Type,Send Marketing Materials,Shares Outstanding,Shipping Method,SIC Code,Status,Status Reason,Stock Exchange,Telephone 3,Territory,Territory Code,Ticker Symbol,Web Site
Détaillants pour VTT LMN,Franziska Fiegler,123 4567,FULA5EA4,2,,Poitiers,France,,,,,,,,,,Poitou - Charentes,123, avenue du Mardi,,,,,,86000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"24 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,1,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,6800,Franziska Fiegler,,Jose Curry,2,,4,,,3,,,,33,8,0,,,,Actif,1,,,Centre,,,
Centre de compétition ABC,Fabrice Canel,123 4567,BOLE735E,3,,Caen,France,,,,,,,,,,Basse-Normandie,112, rue du Mardi,,,,,,14001,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"265 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,950,Fabrice Canel,,Jose Curry,2,,4,,,1,,,,33,8,0,,,,Actif,1,,,Centre,,,
Centre de sport ABC,Raffaella Bonaldi,123 4567,CNS01DF3,2,,Bordeaux,France,,,,,,,,,,Aquitaine,113, avenue du Samedi,,,,,,33200,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"18 550 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,196,,,Jose Curry,2,,4,,,2,,,,33,3,0,,,,Actif,1,,,Centre,,,
Magasin de remise en forme ABC,Barbara Zighetti,123 4567,,3,,Lille,France,,,,,,,,,,Nord - Pas-de-Calais,334, rue du Vendredi,,,,,,59000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"12 250 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,67,,,Alan Jackson,,,4,,,3,,,,33,3,0,,,,Actif,1,,,Est,,,
Entreprise de VTT XYZ,Jeroen Cool,123 4567,GFHS4538,2,,Clermont-Ferrand,France,,,,,,,,,,Auvergne,223, boulevard du Mardi,,,,,,63100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"890 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,198,,,Gail Erickson,2,,4,,,1,,,,33,3,0,,,,Actif,1,,,Ouest,,,
Centre de loisirs ABC,Nina Vietzen,123 4567,CAS68B76,2,,Paris,France,,,,,,,,,,Île-de-France,112, rue du Vendredi,,,,,,75011,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"20 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,5147,Nina Vietzen,,Jose Curry,2,,4,,,3,,,,33,8,0,,,,Actif,1,,,Centre,,,
Accessoires de compétition ABC,Sebastian Röttel,123 4567,ABSS4G45,2,,Saint-Étienne,France,,,,,,,,,,Rhône - Alpes,112, avenue du Dimanche,,,,,,42000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"25 575 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,462,,,Jose Curry,2,,4,,,2,,,,33,3,0,,,,Actif,1,,,Centre,,,
Fournitures pour vélos ABC,Mohammad Chami,123 4567,,3,,Nice,France,,,,,,,,,,Provence - Alpes - Côte d'Azur,225, rue du Jeudi,,,,,,O6100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"880 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,319,,,Alan Jackson,,,4,,,3,,,,33,3,0,,,,Actif,1,,,Est,,,
Magasin de remise en forme XYZ,Iris Rogers,123 4567,WEE2DE76,2,,Amiens,France,,,,,,,,,,Picardie,445, avenue du Jeudi,,,,,,80080,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"1 800 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,736,Iris Rogers,,Jose Curry,2,,4,,,1,,,,14,8,0,,,,Actif,1,,,Centre,,,
Équipements pour VTT LMN,Sten Faerch,123 4567,,3,,Châlons-en-Champagne,France,,,,,,,,,,Champagne - Ardenne,225, avenue du Samedi,,,,,,17620,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"850 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,63,,,Alan Jackson,,,4,,,1,,,,14,3,0,,,,Actif,1,,,Est,,,
