Subject,Activity Type,Activity Status,Priority,Last Updated,Actual Duration,Actual End,Actual Start,Created By,Date Created,Description,Due Date,Duration,Modified By,Propriétaire,Regarding,Start Date,Start Date Year,Start Date Month,Start Date Day,Start Date Hour,Start Date Minute,Start Date Second,Due Date Year,Due Date Month,Due Date Day,Due Date Hour,Due Date Minute,Due Date Second,Actual Start Date Year,Actual Start Date Month,Actual Start Date Day,Actual Start Date Hour,Actual Start Date Minute,Actual Start Date Second,Actual End Date Year,Actual End Date Month,Actual End Date Day,Actual End Date Hour,Actual End Date Minute,Actual End Date Second
Publier des messages publicitaires dans les principaux quotidiens,campaignactivity,1,Normale,1/24/2008,,,,First name Last name,1/24/2008,Publier des messages publicitaires dans tous les quotidiens et magazines principaux pendant 2 semaines,,,First name Last name,Patricia San Juan,Nouveau programme de fidélisation de la clientèle,,0,0,1,10,0,0,0,0,1,14,0,0,,,,,,,,,,,,
Envoyer un courrier électronique personnalisé à tous les clients,campaignactivity,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,Envoyer un courrier électronique d'invitation à tous les clients existants,,,First name Last name,Patricia San Juan,Nouveau programme de fidélisation de la clientèle,,0,2,0,10,0,0,0,5,0,10,0,0,,,,,,,,,,,,
Appeler tous les prospects concernant le nouveau produit,campaignactivity,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,Appeler tous les prospects concernant le nouveau produit,,,First name Last name,Patricia San Juan,Campagne de lancement de la nouvelle série WX-1300 de VTT,,0,1,0,10,0,0,0,4,0,10,0,0,,,,,,,,,,,,
Séminaire sur le programme de protection de l'environnement de l'AWCC pour la création d'un prospect,campaignactivity,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,Séminaire sur le programme de protection de l'environnement de l'AWCC pour la création d'un prospect,,,First name Last name,Patricia San Juan,Fête de charité au profit du projet Mountains to Sound Greenway,,0,0,20,15,0,0,0,0,21,10,0,0,,,,,,,,,,,,
Séminaire sur les nouveaux accessoires et caractéristiques des produits,campaignactivity,1,Haute,1/24/2008,180,,,First name Last name,1/24/2008,"Séminaire sur ce nouveau produit, incluant des spécifications, des caractéristiques, des accessoires, des améliorations et des avantages.",,,First name Last name,Patricia San Juan,Campagne de lancement de la nouvelle série WX-1300 de VTT,,0,1,10,10,0,0,0,2,10,10,0,0,,,,,,,,,,,,
Envoyer la brochure sur le produit et des détails sur l'offre,campaignactivity,1,Normale,1/24/2008,,,,First name Last name,1/24/2008,Envoyer la brochure sur le produit et des détails sur l'offre via un courrier direct,,,First name Last name,Patricia San Juan,Campagne de lancement de la nouvelle série WX-1300 de VTT,,-1,-2,-15,10,0,0,-1,-2,-12,10,0,0,-1,-1,-10,10,0,0,-1,-1,-7,10,0,0
Campagne de publicité à la télévision avec une célébrité,campaignactivity,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,Campagne de publicité à la télévision avec une célébrité,,,First name Last name,Patricia San Juan,Nouvelle campagne publicitaire pour la série vélos de route,,0,-11,10,10,0,0,0,-11,16,10,0,0,0,-11,10,10,0,0,0,-11,16,10,0,0
Publicités à la télévision pour le programme de fidélité,campaignactivity,1,Normale,1/24/2008,,,,First name Last name,1/24/2008,Plages publicitaires à la télévision où apparaît la publicité pour le programme de fidélité à une heure de grande écoute,,,First name Last name,Patricia San Juan,Nouveau programme de fidélisation de la clientèle,,-1,0,-2,10,0,0,-1,0,-2,12,0,0,-1,0,-2,10,0,0,-1,0,-2,13,0,0
"Bannières sur les principaux portails (yahoo, msn, etc.)",campaignactivity,1,Faible,1/24/2008,,,,First name Last name,1/24/2008,Bannière du programme de fidélité sur tous les principaux moteurs de recherche et portails avec des liens vers le site Web d'AWCC,,,First name Last name,Patricia San Juan,Nouveau programme de fidélisation de la clientèle,,-1,0,8,10,0,0,-1,0,12,10,0,0,-1,0,8,10,0,0,-1,0,12,10,0,0
Envoyer des messages électroniques de rappel à tous les prospects convertis,campaignactivity,2,Faible,1/24/2008,,,,First name Last name,1/24/2008,Envoyer des messages électroniques de rappel à tous les prospects convertis,,,First name Last name,Patricia San Juan,Campagne de lancement de la nouvelle série WX-1300 de VTT,,0,5,12,10,0,0,0,7,12,10,0,0,,,,,,,,,,,,
Recherche de notoriété de marque de chaînes au détail,campaignactivity,3,Normale,1/24/2008,,,,First name Last name,1/24/2008,Recherche de notoriété de marque de chaînes au détail,,,First name Last name,Patricia San Juan,Association de marques avec une chaîne importante de vente de vélos,,0,-4,13,12,0,0,0,8,14,22,0,0,,,,,,,,,,,,
