Subject,Activity Type,Activity Status,Priority,Last Updated,Actual Duration,Actual End,Actual Start,Created By,Date Created,Description,Due Date,Duration,Modified By,Propriétaire,Regarding,Start Date,Start Date Year,Start Date Month,Start Date Day,Start Date Hour,Start Date Minute,Start Date Second,Due Date Year,Due Date Month,Due Date Day,Due Date Hour,Due Date Minute,Due Date Second
Graisse recommandée,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Dites-lui que n'importe quelle graisse au téflon de bonne qualité est meilleure.,,,First name Last name,Roger Van Houten,Meilleure graisse à utiliser.,,0,-3,18,12,0,0,0,-3,18,12,0,0
Tarifs du Route-350-W non disponibles,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Les ai informés que les nouveaux tarifs seront fournis à tous les revendeurs au salon du mois de mars. Renvoi au service des ventes pour le suivi,,,First name Last name,Roger Van Houten,Prix au détail d'un Route-350-W,,0,-2,6,12,0,0,0,-2,6,12,0,0
Possibilité de livraison pour le lendemain,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Les articles de moins de 20 kg peuvent être livrés le lendemain.,,,First name Last name,Roger Van Houten,Disponibilité d'une livraison le lendemain ?,,0,-1,8,12,0,0,0,-1,8,12,0,0
Envoyé des instructions sur les retouches de peinture par courrier électronique,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Envoyé des instructions sur les retouches de peinture par courrier électronique au contact principal du compte.,,,First name Last name,Roger Van Houten,Peinture de retouche,,0,-2,19,12,0,0,0,-2,19,12,0,0
Route 550-W envoyé,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Un nouveau vélo à été envoyé gratuitement au magasin pour le client. L'assurance a été avertie.,,,First name Last name,Roger Van Houten,Vélo endommagé dans le transport,,0,-1,5,12,0,0,0,-1,5,12,0,0
Remplacement de la décalcomanie d'un vélo de 1998,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Remplacement de la décalcomanie pour un vélo de tourisme de 1998 achevé.,,,First name Last name,Roger Van Houten,Remplacement de la décalcomanie d'un vélo de 1998,,0,-1,6,12,0,0,0,-1,6,12,0,0
Demande de pièces de rechange,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Liste des revendeurs de pièces détachées envoyée,,,First name Last name,Roger Van Houten,Demande de pièces de rechange ?,,0,-2,10,12,0,0,0,-2,10,12,0,0
Détails du vélo utilisé par l'AWC avec le n° de série T1349XS,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,L'ensemble des détails a été envoyé pour le vélo utilisé par l'AWC acheté,,,First name Last name,Roger Van Houten,Vélo utilisé par l'AWC n° de série T1349XS,,0,-1,21,12,0,0,0,-1,21,12,0,0
Poids des vélos de tourisme,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,envoyé liste des poids à vide de tous nos vélos de tourisme par courrier électronique.,,,First name Last name,Roger Van Houten,Poids des vélos de tourisme,,0,-1,21,12,0,0,0,-1,21,12,0,0
Déterminé l'année d'un vélo plus ancien,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,localisé le numéro de série et recherché l'année du vélo pour le client,,,First name Last name,Roger Van Houten,Déterminer l'année d'un ancien vélo,,0,-1,20,12,0,0,0,-1,20,12,0,0
Tailles des cadres sur les modèles pour femme,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Courrier électronique envoyé avec la liste des tailles de cadre disponibles pour les vélos pour femme,,,First name Last name,Roger Van Houten,Tailles des cadres sur les modèles pour femme,,0,-1,21,12,0,0,0,-1,21,12,0,0
Dimensions des cadres pour 2001,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Courrier électronique envoyé avec la liste des nouvelles dimensions de cadre pour le Route-650 (ou équivalent) série 2002,,,First name Last name,Roger Van Houten,Dimensions des cadres pour 2001,,0,-3,12,12,0,0,0,-3,12,12,0,0
Poids des pneus ?,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Ai appelé et indiqué les poids et différences entre les pneus route HL et LL,,,First name Last name,Roger Van Houten,Poids des pneus ?,,0,-1,27,12,0,0,0,-1,27,12,0,0
Qui a remporté le Tour l'année dernière ?,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Classement des coureurs du tour d'Amérique cycliste cherché et courrier électronique envoyé.,,,First name Last name,Roger Van Houten,Qui a remporté le Tour l'année dernière ?,,0,-1,11,12,0,0,0,-1,11,12,0,0
Vélo endommagé - cadre fissuré,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Vélo renvoyé et passé au contrôle qualité pour vérification.,,,First name Last name,Roger Van Houten,Vélo endommagé - cadre fissuré,,0,-1,13,12,0,0,0,-1,13,12,0,0
Jeu de direction d'un VTT ?,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Vérifié condition du jeu de direction et recommandé son remplacement après 3 mois.,,,First name Last name,Roger Van Houten,Jeu de direction d'un VTT ?,,0,-2,14,12,0,0,0,-2,14,12,0,0
CV d'un coureur,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,A appelé et confirmé l'envoi de son CV.,,,First name Last name,Roger Van Houten,CV d'un coureur,,0,-2,10,12,0,0,0,-2,10,12,0,0
Tailles actuelles des cadres de VTT ?,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,A envoyé la liste des tailles de cadre des VTT disponibles,,,First name Last name,Roger Van Houten,Tailles actuelles des cadres de VTT ?,,0,-1,25,12,0,0,0,-1,25,12,0,0
Poids des vélos pour comparer les vélos de route,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,A envoyé un courrier électronique avec la liste des poids de tous nos modèles de vélo de route.,,,First name Last name,Roger Van Houten,Poids des vélos pour comparer les vélos de route,,0,-1,5,12,0,0,0,-1,5,12,0,0
Taille du jeu de pédalier du Tourisme-1000 2001,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Livret de spécifications envoyé au client afin de vérifier la taille du jeu de pédalier pour son Tourisme-1000 2001,,,First name Last name,Roger Van Houten,Taille du jeu de pédalier du Tourisme-1000 2001,,0,-1,15,12,0,0,0,-1,15,12,0,0
Selle au silicone ?,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Client appelé concernant la selle de compétition au silicone et son poids. En outre, il a été informé que nous disposions également de la version pour femme.",,,First name Last name,Roger Van Houten,Selle au silicone ?,,0,-1,21,12,0,0,0,-1,21,12,0,0
Code d'article d'un nouveau cadre VTT HL pour la garantie,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Détails et instructions envoyés pour le processus de garantie concernant le remplacement d'un cadre défectueux.,,,First name Last name,Roger Van Houten,Code d'article d'un nouveau cadre VTT HL pour la garantie,,0,-2,18,12,0,0,0,-2,18,12,0,0
Couleurs pour l'année 2003,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Courrier électronique envoyé concernant les couleurs qui seront disponibles pour l'ensemble des vélos pour l'année de modèle 2003,,,First name Last name,Roger Van Houten,Couleurs pour l'année 2003,,0,-2,17,12,0,0,0,-2,17,12,0,0
Comment puis-je recevoir un catalogue des produits ?,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Lien du site Web pour les catalogues de produits envoyé.,,,First name Last name,Roger Van Houten,Comment puis-je recevoir un catalogue des produits ?,,0,-2,18,12,0,0,0,-2,18,12,0,0
Remplacement du tube de selle,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Déconseillé le remplacement par un tube de selle plus court pour le Tourisme-2000.,,,First name Last name,Roger Van Houten,Remplacement du tube de selle,,0,-1,9,12,0,0,0,-1,9,12,0,0
Informations sur le remplacement du dérailleur d'un Route-250,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Article envoyé sur le remplacement du dérailleur sur notre Route-250.,,,First name Last name,Roger Van Houten,Informations sur le remplacement du dérailleur d'un Route-250,,0,-1,4,12,0,0,0,-1,4,12,0,0
Pédales spéciales pour les chaussures de l'AWC ?,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Client informé sur le fait que nos chaussures AWC fonctionneront avec n'importe quelle pédale présente sur le marché.,,,First name Last name,Roger Van Houten,Pédales spéciales pour les chaussures de l'AWC ?,,0,-1,25,12,0,0,0,-1,25,12,0,0
Délai moyen de livraison d'une commande,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,"Client appelé, informations sur son adresse d'expédition obtenues et client informé que la commande arrivera 3 jours après son expédition.",,,First name Last name,Roger Van Houten,Délai moyen de livraison d'une commande,,0,-1,6,12,0,0,0,-1,6,12,0,0
2 VTT endommagés lors de la livraison,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,2 VTT endommagés lors de la livraison,,,First name Last name,Ben Burton,2 VTT endommagés lors de la livraison,,0,-1,4,12,0,0,0,-1,4,12,0,0
Axe principal trop étroit,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Axe principal trop étroit,,,First name Last name,Ben Burton,Axe principal trop étroit,,0,-3,8,12,0,0,0,-3,8,12,0,0
Dérailleurs fissurés dans le lot de 100 VTT,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Dérailleurs fissurés dans le lot de 100 VTT,,,First name Last name,Ben Burton,Dérailleurs fissurés dans le lot de 100 VTT,,0,-1,14,12,0,0,0,-1,14,12,0,0
Le jeu de pédalier fait du bruit,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Le jeu de pédalier fait du bruit,,,First name Last name,Ben Burton,Le jeu de pédalier fait du bruit,,0,-1,19,12,0,0,0,-1,19,12,0,0
Coussins de selle manquants,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Coussins de selle manquants,,,First name Last name,Ben Burton,Coussins de selle manquants,,0,-1,5,12,0,0,0,-1,5,12,0,0
Système de freinage et manivelles incorrects,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Système de freinage et manivelles incorrects,,,First name Last name,Mathew Pereira,Système de freinage et manivelles incorrects,,0,-1,8,12,0,0,0,-1,8,12,0,0
Les dérailleurs et le système de suspension ont des problèmes,incidentresolution,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,Les dérailleurs et le système de suspension ont des problèmes,,,First name Last name,Mathew Pereira,Les dérailleurs et le système de suspension ont des problèmes,,0,-1,10,12,0,0,0,-1,10,12,0,0
Plaquettes de frein à disque usées,incidentresolution,2,Normale,1/9/2008,,,,First name Last name,1/10/2008,Plaquettes de frein à disque usées,,,First name Last name,Mathew Pereira,Plaquettes de frein à disque usées,,0,-1,22,12,0,0,0,-1,22,12,0,0
