Number,Subject,Title,Article,ArticleXML,Created By,Created On,Description,Key Words,Modified By,Modified On,Status,BaseTemplate
AKB-01050,Service,Redressement de la patte de dérailleur,{6034f210-0978-4869-b8bc-1a04f7b14766},"<articledata><section id='0'><content>La patte de dérailleur est le dispositif pendu derrière la patte droite (fente d’essieu de la roue arrière dans le cadre) sur laquelle s’attache le dérailleur arrière. Sur certains vélos, elle fait partie du cadre. Sur la plupart des vélos haut de gamme, c’est une pièce métallique distincte, qui peut être remplacée en cas de dommage. </content></section></articledata>",First name Last name,21/01/2008,Redressement de la patte de dérailleur,patte de dérailleur,First name Last name,21/01/2008,Publié,Procédure
AKB-01031,Service,Ajustement des roulements de la roue avant,{619933e6-4de2-457e-802f-1d27ef45ddfb},"<articledata><section id='0'><content>Pour remettre en état les roulements, dévissez un contre-écrou et un cône de roulement de l’axe au-dessus d’un chiffon. Dans la plupart des moyeux, les roulements se détachent. Nettoyez tout le mieux possible, à l’aide d’un solvant ininflammable et non toxique pour les poumons. Examinez tout pour détecter l’usure, notamment les cônes de roulement, les cuvettes (surfaces intérieures du moyeu) et les billes de roulement. Les billes doivent être brillantes, pas ternes. Bien que ce soit rare, vérifiez quand même si le corps du moyeu n’est pas fendu ou craquelé, notamment sur les bords extérieurs des cuvettes. Mettez de la graisse neuve dans les cuvettes, plaquez les roulements dans la graisse, replacez les cônes et les contre-écrous sur l’axe et ajustez correctement. </content></section></articledata>",First name Last name,21/01/2008,Ajustement des roulements de la roue avant,"roulements, contre-écrou, cônes",First name Last name,21/01/2008,Publié,Procédure
AKB-01014,Composants,Informations de base sur le jeu de direction,{667b170f-3a6f-41e4-85bf-202c421532b2},"<articledata><section id='0'><content><![CDATA[Le jeu de direction est l’assemblage de roulements qui connecte la fourche avant au cadre.<BR>Il permet à la fourche de tourner pour la direction et l’équilibre. Le guidon doit tourner sans à-coups.]]></content></section><section id='1'><content><![CDATA[<P>Il existe des jeux de direction filetés ou non filetés.</P><P>Le jeu de direction fileté est constitué de roulements, de cuvettes, de cônes, de contre-écrous et de joints. Il s’adapte à une fourche au moyen d’un axe de direction fileté. Le jeu de direction non fileté est très comparable, mais il a une bague ajustable qui s'adapte sur un axe de direction non fileté.</P><P>Les roulements du jeu de direction doivent être maintenus ajustés pour éviter toute rotation déséquilibrée.</P><P>Il existe quatre bagues : la bague de couronne, la bague de roulement inférieure, la bague de roulement supérieure et la bague de hauteur.</P>]]></content></section></articledata>",First name Last name,21/01/2008,,"jeu de direction, diriger, axe de direction, équilibre, roulement, cuvette, cône, contre-écrou, joint",First name Last name,21/01/2008,Publié,Procédure
AKB-01013,Composants,Informations de base sur le cadre,{05e5e56d-ae6c-4f76-874c-2776bbee3b5e},"<articledata><section id='0'><content><![CDATA[Le cadre est le squelette du vélo. La partie avant du cadre comporte le tube de direction, le tube horizontal, le tube diagonal et le pédalier. La selle et la fourche y sont attachés. La partie arrière du cadre comporte le tube de selle, les bases de la fourche arrière et les haubans.]]></content></section><section id='1'><content><![CDATA[<P>Un jeu de cadre comporte le cadre et les fourches.</P><P>La taille du cadre se mesure en général à partir du centre du pédalier jusqu’au haut du tube de selle. L’unité de mesure est soit le pouce, soit le centimètre ; les vélos Adventure Works Cycle se mesurent en pouces.</P><P>Les cadres de vélos peuvent être en aluminium, titane ou acier. Chacun a des caractéristiques différentes telles que force, rigidité et poids, qui affectent la qualité de conduite. Le matériau dont est fait le cadre est moins important que le diamètre des tubes, la géométrie du cadre et l’épaisseur des parois des tubes.</P>]]></content></section></articledata>",First name Last name,21/01/2008,,"cadre, fourche, tube",First name Last name,21/01/2008,Publié,Procédure
AKB-01026,Vélos de tourisme,Manuel utilisateur des vélos de tourisme Adventure Works Cycle,{0135527b-8a19-4a60-81c0-290ddc2985b1},<articledata><section id='0'><content><![CDATA[Ce manuel concerne tous les modèles de vélos de tourisme :<BR>Tourisme-3000<BR>Tourisme-2000<BR>Tourisme-1000]]></content></section><section id='1'><content><![CDATA[<P>Table des matières</P><P>1. Les pièces d’un vélo</P><P>2. Géométrie et spécifications</P><P>3. Exécution d’un contrôle de sécurité </P><P>4. Entretien de votre vélo : Informations de base sur le réglage</P><BLOCKQUOTE dir=ltr style='MARGIN-RIGHT: 0px'><P>Retrait des roues avant et arrière<BR>Nettoyage et graissage</P></BLOCKQUOTE><P>5. Entretien de votre vélo : utilisateurs expérimentés</P><BLOCKQUOTE dir=ltr style='MARGIN-RIGHT: 0px'><P>Planning de maintenance<BR>Le système de freinage<BR>Vitesses et transmission<BR>Guidon et jeu de direction<BR>Suspension avant et arrière</P></BLOCKQUOTE><P>6. Revendeurs</P><P>7. Informations de garantie</P>]]></content></section></articledata>,First name Last name,21/01/2008,,"utilisateur, manuel, tourisme, vélo, pièce, géométrie, spécifications, maintenance, garantie",First name Last name,21/01/2008,Publié,Procédure
AKB-01046,Service,Réglage du dérailleur avant,{5c9df2b5-ea53-4d39-82e6-2a15b8d86f25},<articledata><section id='0'><content>Vérifiez que le collier du dérailleur est encore dans sa position d’origine et correctement aligné de telle sorte que le bord externe de la cage soit parallèle au grand plateau. Vérifiez la hauteur. Le bas du bord extérieur de la cage doit se trouver à 1 ou 2 mm au-dessus du grand plateau lorsque vous poussez le levier de vitesses pour amener la cage vers le haut. Le dérailleur doit être juste assez haut pour permettre de passer au grand plateau.</content></section></articledata>,First name Last name,21/01/2008,Réglage du dérailleur avant,"dérailleur avant, réglage",First name Last name,21/01/2008,Publié,Procédure
AKB-01007,Composants,Informations de base sur le changement de vitesse et la transmission,{7a5f4e36-f0d6-4e52-baeb-2a764ac4bb3c},"<articledata><section id='0'><content><![CDATA[Les vitesses vous permettent d’ajuster la vitesse de pédalage et la résistance qu’opposent les pédales. Vous changez de vitesse en fonction des conditions extérieures (vent, côtes) et de votre propre condition physique (détendu, fatigué). Les vitesses vous permettent de grimper les côtes plus facilement. Le changement de vitesse vous permet d’adopter différentes vitesses.]]></content></section><section id='1'><content><![CDATA[<P>Le changement de vitesse comporte le levier de vitesses, les câbles, les dérailleurs, les chaînes et les pignons.</P><P>Les vélos existent en modèles à plusieurs vitesses ou une seule vitesse. Un vélo à 10 vitesses a deux pignons à l’avant et cinq sur le moyeu de la roue arrière. Les pignons sont attachés aux manivelles des pédales. Le nombre de pignons avant multiplié par le nombre de pignons arrière détermine le nombre total de vitesses du vélo. Un vélo à 24vitesses possède trois pignons avant et huit pignons arrière.</P><P>Le dérailleur commande le passage d’un pignon à un autre.</P>]]></content></section></articledata>",First name Last name,21/01/2008,,"changement de vitesse, transmission, vitesse, levier de vitesses, pignon, dérailleur",First name Last name,21/01/2008,Publié,Procédure
AKB-01047,Service,Centrage de la jante,{8a0195b7-c659-49ce-801f-2b365d32ff1a},"<articledata><section id='0'><content>Remplacement de rayons faussés ou cassés. Pour retirer un rayon, dévissez l’écrou de rayon situé à l’intérieur de la jante, puis tournez le rayon pour l’extraire du moyeu. Pour une roue sans entrelaçage radial (presque tous les VTT), vous devrez peut-être retirer DEUX rayons pour en remplacer un, parce que la tige d’un rayon peut recouvrir la tête d’un autre.</content></section></articledata>",First name Last name,21/01/2008,Centrage de la jante,centrage,First name Last name,21/01/2008,Publié,Procédure
AKB-01009,Informations générales - Vélos,Comment acheter un vélo Adventure Works de la bonne taille,{c4eb8317-f76d-4b53-9f19-2f001843c068},"<articledata><section id='0'><content><![CDATA[Cet article donne des informations sur les critères de choix de la taille d’un vélo pour un individu.]]></content></section><section id='1'><content><![CDATA[<P><B>Taille du cadre</B></P><P>Règle de base pour la taille du cadre : lorsque vous enjambez la barre, il doit y avoir un espace suffisant entre vous et la barre, selon le type de vélo considéré :</P><P><OL><LI>Vélo de route ou de tourisme— 3 à 5 cm<LI>VTT— 8 à 12 cm;10 à 12 cm pour un cycliste téméraire</LI></OL><P>La barre des VTT doit être un peu plus basse parce que vous avez tendance à stopper plus brusquement et plus fréquemment sur un sol irrégulier. Veillez lors de l’achat à porter le même type de chaussures et de tenue que lorsque vous utiliserez votre vélo.</P><P>Ceci dit, il existe bien des façons de régler votre vélo avec précision à vos besoins. Essayez-le avant de l’acheter pour vous assurer que vous pourrez le régler confortablement.</P><P></P><P><B>Hauteur/angle de la selle</B></P><P>La hauteur de selle doit être réglée pour un pédalage confortable. Vos jambes doivent être presque mais pas tout à fait tendues lorsque la pédale est en bas de course. Lorsque vous pédalez, vérifiez que vous ne penchez pas d’un côté, et que la saillie des orteils de votre pied est posée au centre de la pédale.</P><P></P><P>L’inclinaison de la selle est question de préférence personnelle. Commencez avec la selle horizontale, et utilisez votre vélo plusieurs fois. Ajustez l’inclinaison jusqu’à trouver la position la plus confortable.</P><P></P><P>La selle peut aussi se régler vers l’avant ou vers l’arrière. Lorsque la pédale est en position 3 heures, votre genou doit être à la verticale au-dessus de la pédale.</P><P></P><P><B>Hauteur du guidon</B></P><P>Le guidon s’ajuste en hauteur, en fonction de votre type de conduite et de votre confort personnel. Commencez avec un guidon environ deux centimètres plus bas que votre selle. Déplacez vos mains du guidon vers les manettes de frein, et vérifiez que vous êtes à l’aise dans les deux cas.</P><UL><LI><DIV>Pour une position plus basse et aérodynamique, ou pour du cross-country avec beaucoup de côtes, abaissez le guidon. Votre dos se fatiguera plus vite.</DIV><LI><DIV>La conduite sur route ou de tourisme est généralement plus confortable avec un guidon plus haut. Ceci vous permet de voir et d’être vu.</DIV></LI></UL>]]></content></section></articledata>",First name Last name,21/01/2008,,"taille, route, tourisme, VTT, espace, cadre, selle, hauteur, inclinaison, adaptation, guidon",First name Last name,21/01/2008,Publié,Procédure
AKB-01054,Service,Peinture d’un vélo,{28b9face-098d-4a5e-ad26-31a0a22c7cf6},"<articledata><section id='0'><content>Maintenez la bombe ou le pistolet à environ 30 cm du vélo. Si vous êtes trop près, vous ne contrôlez pas l’application - la peinture peut couler ou déborder. Trop loin, la peinture peut être sèche avant d’avoir atteint le vélo, et vous obtenez une finition à grain, et une peinture peu durable. Vous pouvez avoir besoin de vous rapprocher ou de vous éloigner, selon la peinture et le matériel utilisés. Peignez tout d’abord tous les côtés de chaque intersection et de chaque patte. Puis, l’un après l’autre, peignez entièrement chaque tube du cadre. Selon la peinture utilisée, attendez le temps prescrit entre chaque couche. Ne mélangez jamais les marques ou les qualités de peinture. Ne peignez que lorsque le temps le permet. Si la température est trop basse ou trop élevée, s’il fait trop humide ou trop de vent, vous rencontrerez toutes sortes de problèmes : insectes collés sur la peinture, peinture qui ne sèche pas, etc.</content></section></articledata>",First name Last name,21/01/2008,Peinture d’un vélo,peinture,First name Last name,21/01/2008,Brouillon,Procédure
