Name,Web Site,Address 1: Address Type,Address 1: County,Address 1: Fax,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Shipping Method,Address 1: Telephone 1,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,City,Country/Region,Created By,Created On,Key Product,Modified By,Modified On,Opportunity,Overview,Reference Info URL,Reported Revenue,Reporting Quarter,Reporting Year,State/Province,Stock Exchange,Street 1,Street 2,Street 3,Strength,Threat,Ticker Symbol,Weakness,Win Percentage,ZIP/Postal Code
Orange Bicycle Company,www.orangebicyclecompany.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Toulouse,France,First name Last name,1/24/2008,Dynora,First name Last name,1/24/2008,,Fabriquent des VTT. Ventes directes et via des revendeurs.,,,,,Midi - Pyrénées,,778,avenue du Mercredi,,Possèdent une des meilleures équipes de cyclistes. Les fourches télescopiques sont de qualité supérieure.,,,,,31100
Affordable Sports Equipment,www.affordablesportsequipment.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Clermont-Ferrand,France,First name Last name,1/24/2008,Suntour,First name Last name,1/24/2008,,Achètent les composants de vélo en gros et assemblent leurs vélos.,,,,,Auvergne,,778,boulevard du Dimanche,,Coûts très raisonnables pour des vélos de prix moyens.,,,,,63100
Advanced Bike Components,www.advancedbikecomponents.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Lille,France,First name Last name,1/24/2008,MT3,First name Last name,1/24/2008,,Fabricant de composants de VTT,,,,,Nord - Pas-de-Calais,,556,rue du Dimanche,,Spécialistes en matière de composants (système innovant de motricité et d'amortisseur).,,,,,59000
Coalition Bike Company,www.coalitionbikecompany.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Clermont-Ferrand,France,First name Last name,1/24/2008,Speedex,First name Last name,1/24/2008,,Fabriquent des vélos destinés à la famille. Ils concurrencent nos vélos bas de gamme.,,,,,Auvergne,,556,rue du Jeudi,,Distribués par les principales chaînes de magasins de sport. Concurrence sévère.,,,,,63100
Metro Bike Works,www.metrobikeworks.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Amiens,France,First name Last name,1/24/2008,Terry,First name Last name,1/24/2008,,Concurrence nos vélos bas de gamme (toutes gammes).,,,,,Picardie,,778,avenue du Samedi,,Les VTT constituent leurs meilleures ventes. Ils en produisent un volume important.,,,,,80080
The Gear Store,www.thegearstore.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Poitiers,France,First name Last name,1/24/2008,Softride,First name Last name,1/24/2008,,Spécialisés dans les vélos pour femme.,,,,,Poitou - Charentes,,778,avenue du Mardi,,Domine le marché des cadres ultra-légers en titane.,,,,,86000
Another Bicycle Company,www.anotherbicyclecompany.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Lyon,France,First name Last name,1/24/2008,Haro,First name Last name,1/24/2008,,Un des principaux revendeurs de vélos de route et de VTT. Il propose une gamme complète d'accessoires et de pièces détachées.,,,,,Rhône - Alpes,,556,rue du Vendredi,,Grand stock de pièces détachées. Ce revendeur propose presque toutes les pièces disponibles sur le marché.,,,,,69001
Initial Bike Company,www.initialbikecompany.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Reims,France,First name Last name,1/24/2008,Redline,First name Last name,1/24/2008,,L'un de nos cinq principaux concurrents dans le domaine des vélos de tourisme. Il s'agit de sa seule gamme de produits.,,,,,Champagne - Ardenne,,556,rue du Mercredi,,"L'année dernière, il occupait la seconde place dans le secteur des VTT. Il est très réputé dans ce secteur.",,,,,51100
Kickstand Sellers,www.kickstandsellers.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Saint-Étienne,France,First name Last name,1/24/2008,Cervelo,First name Last name,1/24/2008,,"Société implantée sur la côte Est. Elle est spécialisée dans les vélos de route, les scooters et les tandems.",,,,,Rhône - Alpes,,778,avenue du Jeudi,,Ils ont un créneau dans les tandems. Ils vendent également un grand nombre de vélos de route.,,,,,42000
Widget Bicycle Specialists,www.widgetbicyclespecialists.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Caen,France,First name Last name,1/24/2008,Serotta,First name Last name,1/24/2008,,Fabricant de taille moyenne/revendeur de VTT et de vélos de confort dans toutes les gammes de prix.,,,,,Basse-Normandie,,556,rue du Samedi,,Les nouveaux modèles semblent endurants dans les compétitions sur piste. Cadre ultra-léger.,,,,,14000
On-line Bike Sellers,www.on-linebikesellers.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Nantes,France,First name Last name,1/24/2008,TK-12,First name Last name,1/24/2008,,Forte présence sur le Web. Ils sont spécialisés dans les vélos de route haut de gamme.,,,,,Pays-de-la Loire,,778,avenue du Vendredi,,Marketing créatif sur Internet. Produits de qualité avec tous les freins à disque.,,,,,44100
Only Bikes and Accessories,www.onlybikesandaccessories.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Strasbourg,France,First name Last name,1/24/2008,Proton GLX,First name Last name,1/24/2008,,"Vélos de tourisme, pièces détachées et vêtements.",,,,,Alsace,,556,rue du Mardi,,Les centres de service régionaux sont appréciés. Ils sont également utilisés comme points de distribution.,,,,,67100
Unified Sports Company,www.unifiedsportscompany.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Paris,France,First name Last name,1/24/2008,Vega-X,First name Last name,1/24/2008,,Fabrique tous les types de vélos et de cadres. Force de vente internationale.,,,,,Île-de-France,,556,rue du Lundi,,Marketing agressif. Position prédominante sur le marché européen.,,,,,75010
Certified Bicycle Supply,www.certifiedbicyclesupply.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Châlons-en-Champagne,France,First name Last name,1/24/2008,Co-Motion,First name Last name,1/24/2008,,Revendeur réputé de VTT et de vélos de tourisme. Il pratique un marketing agressif dans l'Ouest du pays.,,,,,Champagne - Ardenne,,778,avenue du Dimanche,,Réputé dans le Middle West et en plein développement. Il concurrence de front le modèle VTT-300.,,,,,17620
Engineered Bike Systems,www.engineeredbikesystems.microsoft.com,,,,,,,,,123 4567,,,,,,,,,,,,,,,,,,,,,,,,,Nancy,France,First name Last name,1/24/2008,Aegis,First name Last name,1/24/2008,,Principalement spécialisés dans les vélos cross et les VTT.,,,,,Lorraine,,778,avenue du Lundi,,Ils possèdent une clientèle très fidèle. Leur clientèle évolue avec eux.,,,,,54000
